# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 75K of event 'cycles:u'
# Event count (approx.): 34212682593
#
# Overhead  Command  Shared Object                 Symbol                                                                                                                                                                                               
# ........  .......  ............................  .....................................................................................................................................................................................................
#
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b126
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000002280d
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004723e
     0.00%  program  libopencv_imgcodecs.so.4.5.5  [.] 0x000000000002064d
     0.00%  program  libgomp.so.1.0.0              [.] GOMP_loop_nonmonotonic_dynamic_next
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004a9c8
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b49a
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004aa2f
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b4f3
     0.00%  program  libc.so.6                     [.] __brk
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000025da0
     0.00%  program  libjpeg.so.8.2.2              [.] 0x00000000000249e0
     0.00%  program  program                       [.] Softmax_layer::Hidden
     0.00%  program  libjpeg.so.8.2.2              [.] jpeg_core_output_dimensions
     0.00%  program  libjpeg.so.8.2.2              [.] jinit_input_controller
     0.00%  program  program                       [.] GOMP_loop_nonmonotonic_dynamic_start@plt
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004aaeb
     0.00%  program  program                       [.] std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::_M_default_append
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004a836
     0.00%  program  libjpeg.so.8.2.2              [.] jinit_d_post_controller
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004bdf0
     0.00%  program  libc.so.6                     [.] _IO_switch_to_get_mode
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004a74f
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b318
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000002587a
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b332
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004a7ec
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000024cbc
     0.00%  program  program                       [.] cv::Mat::operator=@plt
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b231
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000021750
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000001d95b
     0.00%  program  libjpeg.so.8.2.2              [.] 0x00000000000249e8
